leiden,Reference,Braak 0,Braak II,Braak III,Braak VI
0,0.00020444323292899004,0.0021807278179092273,0.16266866566716642,0.13806732997137794,0.6968788333106174
1,0.997823326682387,0.00018138944313440957,0.0005441683294032287,0.001269726101940867,0.00018138944313440957
2,0.0017647058823529412,0.2950980392156863,0.31039215686274507,0.14058823529411765,0.252156862745098
3,0.0,0.0,0.001129305477131564,0.000564652738565782,0.9983060417843026
4,0.0,0.0,0.0005672149744753262,0.9977311401020987,0.0017016449234259785
5,0.0,0.997867803837953,0.0,0.0014214641080312722,0.0007107320540156361
