leiden,Reference,Braak 0,Braak II,Braak III,Braak VI
0,3,32,2387,2026,10226
1,5501,1,3,7,1
2,9,1505,1583,717,1286
3,0,0,2,1,1768
4,0,0,1,1759,3
5,0,1404,0,2,1
