gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
FADS1,0.34205872,3.1358570683829396e-24,3.913050979230966e-23,10.15538,ENSG00000149485
YWHAB,0.2734883,3.223707147501998e-24,4.0212958086619646e-23,10.152685,ENSG00000166913
UBE3D,0.5655752,3.2277577430158466e-24,4.024969689681267e-23,10.152562,ENSG00000118420
CNN3,0.74407244,3.237294049370599e-24,4.0354793196056915e-23,10.152274,ENSG00000117519
PAK5,1.2118161,3.2870362121561298e-24,4.0960835919585556e-23,10.150786,ENSG00000101349
SYNJ1,0.35490286,3.3598696810627326e-24,4.1854113864815677e-23,10.148647,ENSG00000159082
ZNF253,0.3420643,3.468953022866963e-24,4.319819338872498e-23,10.145529,ENSG00000256771
CSGALNACT1,2.1881995,3.4958557695496244e-24,4.351832488233878e-23,10.144774,ENSG00000147408
CAMKMT,0.3850015,3.5434203890888424e-24,4.409535994788207e-23,10.143455,ENSG00000143919
ELOVL7,0.40875635,3.724554762353862e-24,4.633361394151993e-23,10.138585,ENSG00000164181
MED12L,1.6154165,3.744980726487832e-24,4.657180266833161e-23,10.138051,ENSG00000144893
SERINC1,0.29395983,3.937148187931579e-24,4.894484118093706e-23,10.133161,ENSG00000111897
EXOC5,0.32760474,3.9841542905246575e-24,4.951229557221291e-23,10.132,ENSG00000070367
FHIT,0.27747703,3.993609944435659e-24,4.961287113503623e-23,10.131768,ENSG00000189283
ZNF585B,0.3505725,4.043297537010388e-24,5.0178783203006895e-23,10.130559,ENSG00000245680
PCYOX1,0.83604395,4.163702489955935e-24,5.1655446359208e-23,10.127689,ENSG00000116005
TIMMDC1,0.3921758,4.4158671321721454e-24,5.47651750737916e-23,10.121938,ENSG00000113845
TPM4,0.3137793,4.697220710824708e-24,5.823466139685027e-23,10.115891,ENSG00000167460
SH3BGRL,0.5490409,4.736256434146669e-24,5.869862807356995e-23,10.115081,ENSG00000131171
ZNF644,0.36436617,4.9521756263067794e-24,6.135373218954829e-23,10.110715,ENSG00000122482
UTP20,0.38927445,4.957999244913283e-24,6.14049892876811e-23,10.1105995,ENSG00000120800
TTC27,0.36591685,5.057206893290181e-24,6.261238265844342e-23,10.108659,ENSG00000018699
FIG4,0.5022681,5.593945526294044e-24,6.923410758103968e-23,10.09877,ENSG00000112367
TAMM41,0.36660418,5.7081529114084836e-24,7.062360306157178e-23,10.096787,ENSG00000144559
ENSG00000285769,1.2820561,5.7103006358120215e-24,7.062617756494135e-23,10.09675,ENSG00000285769
TOR1AIP2,0.3877295,5.766162993301951e-24,7.129287840818698e-23,10.095796,ENSG00000169905
CCDC144A,0.3335277,5.8625590952071465e-24,7.246011601313057e-23,10.094169,ENSG00000170160
UBAP2L,0.40311417,5.9157126941342764e-24,7.309227370845513e-23,10.093284,ENSG00000143569
SH3GL1,1.0939662,5.9668301248449145e-24,7.369885295313875e-23,10.092439,ENSG00000141985
TTC17,0.3585774,6.534033543482279e-24,8.067725648873406e-23,10.083523,ENSG00000052841
HAGH,0.37269956,6.618823896903265e-24,8.169647990984464e-23,10.082256,ENSG00000063854
PI4KB,0.4361849,6.796994910209197e-24,8.383881391278363e-23,10.079647,ENSG00000143393
TCFL5,0.3314376,6.853281140557334e-24,8.450446084997415e-23,10.078836,ENSG00000101190
SAV1,0.5823732,7.078082532821144e-24,8.718780148345179e-23,10.0756645,ENSG00000151748
NUDT3,0.69956046,7.357192896296115e-24,9.059523427119856e-23,10.071862,ENSG00000272325
STX8,0.38192314,7.640661949275961e-24,9.405401720657075e-23,10.068144,ENSG00000170310
LMO7,0.54959244,7.681125265002722e-24,9.452015314271007e-23,10.067624,ENSG00000136153
ASXL2,0.33636463,7.801802898439904e-24,9.59727186277006e-23,10.066091,ENSG00000143970
WWTR1,0.89311534,7.81562653260689e-24,9.611029831316518e-23,10.065916,ENSG00000018408
MARCHF8,0.3354144,8.104903953369468e-24,9.963395096221778e-23,10.06234,ENSG00000165406
PDXDC1,0.26536122,8.215648961892699e-24,1.0096125885941172e-22,10.061004,ENSG00000179889
CCDC62,1.4654927,8.218729393669872e-24,1.0096503869173663e-22,10.0609665,ENSG00000130783
SMOC1,0.5691709,8.525843936200124e-24,1.0470253942830318e-22,10.057355,ENSG00000198732
ANKDD1A,1.5214305,8.547469304801477e-24,1.0493272162050956e-22,10.057105,ENSG00000166839
ZFYVE1,0.5263167,8.866081288435942e-24,1.087708058876447e-22,10.0535,ENSG00000165861
NRXN2,0.50033,9.060530256494334e-24,1.1111890458048894e-22,10.051363,ENSG00000110076
INIP,0.39111018,9.132343373639922e-24,1.119619147882077e-22,10.050585,ENSG00000148153
ACAP3,0.29213136,9.219070215385349e-24,1.1298713722067025e-22,10.049654,ENSG00000131584
SLC25A32,0.32189932,9.292406015868445e-24,1.1384760694811635e-22,10.048873,ENSG00000164933
NADK2,0.6918989,9.333972152585415e-24,1.1431839691218975e-22,10.048433,ENSG00000152620
LINC03051,0.24939191,1.0300172857765648e-23,1.2610958106824572e-22,10.03872,ENSG00000239268
WDFY1,0.34096465,1.0538191108542289e-23,1.289803746703334e-22,10.036467,ENSG00000085449
SMU1,0.4508774,1.1354289392670354e-23,1.3892217250198686e-22,10.029103,ENSG00000122692
KLF6,2.0918484,1.1387604576595734e-23,1.3928298886227874e-22,10.028814,ENSG00000067082
GANC,0.3298155,1.1574132703305225e-23,1.4151689724403956e-22,10.027209,ENSG00000214013
CENATAC,0.2595787,1.1980095864007693e-23,1.4643143692522597e-22,10.023805,ENSG00000186166
ZNF592,0.39426237,1.22278155601894e-23,1.4940913428779076e-22,10.021782,ENSG00000166716
PHF14,0.3585581,1.3852595587204948e-23,1.6920520312690593e-22,10.009446,ENSG00000106443
KIAA1755,0.36899665,1.422196520093894e-23,1.7360046828581587e-22,10.006843,ENSG00000149633
SYNRG,0.30913374,1.4768155153967476e-23,1.802071264967372e-22,10.003112,ENSG00000275066
PAM16,0.6153091,1.493979003029298e-23,1.8224041359565427e-22,10.001968,ENSG00000217930
TAFA1,0.74527365,1.5287184700953354e-23,1.8641559589119677e-22,9.999692,ENSG00000183662
NIPBL-DT,0.7392394,1.5724375706273653e-23,1.916826140665672e-22,9.9969,ENSG00000285967
ETNK1,0.34053287,1.5903220042939477e-23,1.9379787423142982e-22,9.995779,ENSG00000139163
AQR,0.34562796,1.5919578157275035e-23,1.9393231176403433e-22,9.995677,ENSG00000021776
BRWD3,0.4214908,1.6228006314412272e-23,1.9762346686300324e-22,9.993775,ENSG00000165288
HERPUD2,0.49675974,1.6714466798457774e-23,2.034794935023218e-22,9.990849,ENSG00000122557
RICTOR,0.35345232,1.7020644378878792e-23,2.0713760131140863e-22,9.989049,ENSG00000164327
EIF2S2,0.42504218,1.784735243951422e-23,2.171258927589682e-22,9.984346,ENSG00000125977
P3H2,2.5091565,1.8175423962732306e-23,2.210432656416195e-22,9.982539,ENSG00000090530
UGDH-AS1,0.29405308,1.9173925161243403e-23,2.3303102902910375e-22,9.977233,ENSG00000249348
NMRK1,0.6518013,2.0600211110357262e-23,2.501984279353998e-22,9.970109,ENSG00000106733
TPRN,0.27464092,2.2428937073825475e-23,2.7231825833015446e-22,9.9616585,ENSG00000176058
HS1BP3,1.0805771,2.296645538420247e-23,2.7875152448319344e-22,9.959304,ENSG00000118960
ADORA1,0.3151326,2.3698228196101934e-23,2.8753744920908483e-22,9.956185,ENSG00000163485
DPY19L1,0.6578052,2.4122967745850616e-23,2.9259343822848522e-22,9.954418,ENSG00000173852
RLIM,0.85647386,2.4402701543957251e-23,2.958878350378193e-22,9.953271,ENSG00000131263
GPAT4,0.58091617,2.4872389562890752e-23,3.014825062463309e-22,9.951374,ENSG00000158669
ATP2B2,1.1868887,2.6387423133328208e-23,3.1974005029309373e-22,9.945489,ENSG00000157087
RPS6KC1,0.3377474,2.6946795794725805e-23,3.264094239778962e-22,9.9434,ENSG00000136643
TRPS1,0.3517447,2.7483671814297934e-23,3.328019481550437e-22,9.941436,ENSG00000104447
ARHGAP39,1.4829535,2.7693002595235684e-23,3.3522526944738085e-22,9.9406805,ENSG00000147799
NCDN,0.9229146,2.832128091258246e-23,3.427166768324867e-22,9.938445,ENSG00000020129
GRM1,1.5810186,2.837672243192706e-23,3.4327349408349774e-22,9.938251,ENSG00000152822
GRK4,0.495667,3.01698435093016e-23,3.6484368710086006e-22,9.932144,ENSG00000125388
CASC15,0.85497206,3.076570524278387e-23,3.718024757053589e-22,9.930194,ENSG00000272168
VAPB,0.3814631,3.3491599300489335e-23,4.0461052213982003e-22,9.921725,ENSG00000124164
NAA15,0.29476196,3.46355443523951e-23,4.1829168854375136e-22,9.918373,ENSG00000164134
KLRD1,1.2928635,3.8113863519633836e-23,4.601465512191337e-22,9.908815,ENSG00000134539
MEF2C-AS1,1.7723595,3.885683506387729e-23,4.689609142677826e-22,9.906886,ENSG00000248309
OR7C1,4.477091,3.918474979499908e-23,4.727617990508637e-22,9.906046,ENSG00000127530
HSPE1,0.41719434,4.045110774870193e-23,4.8787868014101855e-22,9.902866,ENSG00000115541
SLC37A3,0.6549804,4.105452701093196e-23,4.949925289808128e-22,9.901386,ENSG00000157800
ZNF675,0.7280598,4.176536972278747e-23,5.0339643904208455e-22,9.89967,ENSG00000197372
SHANK3,0.3707937,4.2920039570745093e-23,5.171424489907248e-22,9.896941,ENSG00000251322
EMC1-AS1,0.5893116,4.30722969726327e-23,5.188053183484956e-22,9.896587,ENSG00000230424
QRICH2,1.751475,4.4047789534689824e-23,5.303796668442877e-22,9.894346,ENSG00000129646
ARIH1,0.34555632,4.409589831757152e-23,5.307834213353436e-22,9.8942375,ENSG00000166233
DCTN1,0.49227074,4.423792677060357e-23,5.323170487677519e-22,9.893915,ENSG00000204843
PPP1R15B,0.76800686,4.5310993131488987e-23,5.448691816062672e-22,9.891517,ENSG00000158615
ARNT,0.31145707,4.552263663749958e-23,5.472334913320022e-22,9.89105,ENSG00000143437
GPR155,0.5467329,4.610223822416858e-23,5.540180522173025e-22,9.889784,ENSG00000163328
FUT9,0.32047248,4.685601643471437e-23,5.628905544113559e-22,9.88816,ENSG00000172461
PPP2CB,0.3163369,4.851677574108865e-23,5.826493529962137e-22,9.884672,ENSG00000104695
XXYLT1,0.6880864,4.9432568918634144e-23,5.932559985053746e-22,9.882799,ENSG00000173950
GNAI2,0.25047556,5.071689340821071e-23,6.084690355122795e-22,9.880229,ENSG00000114353
SHQ1,0.5391531,5.212321316990544e-23,6.251351903631742e-22,9.877488,ENSG00000144736
IDE,0.5437891,5.293072466390629e-23,6.346109800665643e-22,9.875947,ENSG00000119912
ENSG00000267002,1.1682072,5.727485549224807e-23,6.8646874199596335e-22,9.868036,ENSG00000267002
ARFGAP3,0.35595727,5.75553036702382e-23,6.896030658903302e-22,9.867546,ENSG00000242247
LINC02615,0.6873153,5.864329369908415e-23,7.024077665036355e-22,9.865667,ENSG00000251432
RPS27L,0.5163798,5.931124373235774e-23,7.101746158443308e-22,9.864531,ENSG00000185088
SENP7,0.31738117,5.959805557750848e-23,7.133742273794342e-22,9.864046,ENSG00000138468
SPOPL,0.4081819,5.975427779917255e-23,7.150091236357117e-22,9.863784,ENSG00000144228
RAB3GAP2,0.3125131,6.115616237706774e-23,7.315434245971716e-22,9.861456,ENSG00000118873
MYLK,0.54671335,6.173343157136924e-23,7.382061446228889e-22,9.860513,ENSG00000065534
RSPRY1,0.32202518,6.209570563299625e-23,7.42294429910919e-22,9.859925,ENSG00000159579
NUMB,0.301233,6.231243063341373e-23,7.446407037163966e-22,9.859575,ENSG00000133961
PARP4,0.40515065,6.723493006348305e-23,8.032015332911893e-22,9.851938,ENSG00000102699
NKD1,0.7907887,7.085704880192789e-23,8.461944444000649e-22,9.846663,ENSG00000140807
CERT1,0.33514738,7.261560964391025e-23,8.669113371652655e-22,9.844198,ENSG00000113163
ANP32B,0.5756974,7.285368196623975e-23,8.694684587855527e-22,9.843869,ENSG00000136938
NME7,0.37013838,7.656380877566867e-23,9.13447380452047e-22,9.838873,ENSG00000143156
