gene_id,gene_symbol,log2fc,log2fc_se,pval,pval_adj,base_mean
ENSG00000078098,FAP,2.136433288230145,0.28959754627907003,1.6159329002694781e-13,3.1032375416775057e-09,31.974555039118652
ENSG00000145685,LHFPL2,1.8027042706351382,0.28950959502016493,4.762058852334154e-10,4.572528910011254e-06,106.94598974554599
ENSG00000248323,LUCAT1,2.3238750254630793,0.3788890586556292,8.602496260736384e-10,5.506744606372717e-06,90.57998681503909
ENSG00000150551,LYPD1,1.5659537487125856,0.29523220667327094,1.1320374539223422e-07,0.000530287998563531,15.811640650354539
ENSG00000039319,ZFYVE16,-1.253136828798819,0.23788610131518362,1.3806706898654732e-07,0.000530287998563531,1263.3010959017347
ENSG00000107738,VSIR,2.590710120773452,0.4954847591278007,1.707639431692276e-07,0.0005465584607703078,28.266615160639713
ENSG00000100490,CDKL1,1.293494210311562,0.2544925171793237,3.722219747670809e-07,0.0010211644004895746,590.5576026950349
ENSG00000157005,SST,-3.952574521483593,0.791584363443959,5.937321712062217e-07,0.0011420255625382502,4.6759109525071345
ENSG00000179399,GPC5,1.406665772070266,0.28405770286100324,7.343861937436665e-07,0.0011420255625382502,254.69976549350991
ENSG00000090530,P3H2,1.8707244908638616,0.3778499784169084,7.384390189086965e-07,0.0011420255625382502,66.91842642282532
ENSG00000140853,NLRC5,1.5145623594107631,0.3068457559472188,7.977879336529699e-07,0.0011420255625382502,33.312605352020526
ENSG00000035499,DEPDC1B,1.6459579555122248,0.3336547689550586,8.09277161512107e-07,0.0011420255625382502,38.50554787639941
ENSG00000119900,OGFRL1,2.166282567090541,0.43985136848480627,8.434605760476111e-07,0.0011420255625382502,73.84760698515521
ENSG00000185950,IRS2,0.902667350420884,0.18371923042802868,8.955693979643321e-07,0.0011420255625382502,254.2634973678779
ENSG00000111907,TPD52L1,2.390343685915818,0.4876022828122018,9.474970825111452e-07,0.0011420255625382502,50.903082368126505
ENSG00000186660,ZFP91,0.44775412852173224,0.09135201939976252,9.514897417523435e-07,0.0011420255625382502,152.43062071040833
ENSG00000112893,MAN2A1,0.6361608237960071,0.1304646759107874,1.0819529261265362e-06,0.0011631036173964794,7198.540423330376
ENSG00000144445,KANSL1L,0.5784161678242117,0.11902858701617604,1.1769881640152603e-06,0.0011631036173964794,706.3689013541783
ENSG00000286044,ENSG00000286044,2.059494086848347,0.4240901295164704,1.1962054385330337e-06,0.0011631036173964794,36.08373629066472
ENSG00000134243,SORT1,0.5443972858093475,0.1121969873625261,1.2212649497857745e-06,0.0011631036173964794,2742.5894046181998
ENSG00000254363,ENSG00000254363,-2.1564125958915317,0.4464427435018322,1.3638852547155015e-06,0.0011631036173964794,4.429603231756533
ENSG00000259001,ENSG00000259001,2.2343638631309273,0.46319825266235776,1.4086675844524356e-06,0.0011631036173964794,7.040592479820022
ENSG00000154262,ABCA6,1.7059910930940112,0.35395552098848304,1.4370979436515551e-06,0.0011631036173964794,293.34738004235754
ENSG00000164463,CREBRF,0.8317691327501778,0.17265524900414356,1.4535766932678352e-06,0.0011631036173964794,395.8754853578185
ENSG00000198743,SLC5A3,2.120427583359808,0.44156205733183335,1.5700593082722675e-06,0.0011785171836923402,80.70861867518089
ENSG00000243927,MRPS6,1.9918163123835677,0.41505882597402444,1.5955762745261844e-06,0.0011785171836923402,83.88982232108516
ENSG00000006128,TAC1,-2.4534281176330746,0.5137905457774322,1.795712816176043e-06,0.0012609806211674765,3.76402302987813
ENSG00000254081,LINC01299,-1.9045297044276335,0.399566015330411,1.874577044606927e-06,0.0012609806211674765,89.50856340974643
ENSG00000176912,TYMSOS,-0.919241966167196,0.19298292006328474,1.9042094362558224e-06,0.0012609806211674765,141.8139645331531
ENSG00000132329,RAMP1,1.512506562841633,0.31874420394172803,2.082953634596518e-06,0.001309658053072808,55.42555949182849
ENSG00000153814,JAZF1,-0.4028703118884918,0.0849543305273719,2.1141116249352765e-06,0.001309658053072808,651.175368870397
ENSG00000286438,ENSG00000286438,-2.5963430467795883,0.5490100613259173,2.254777149343807e-06,0.0013210752542672365,19.903361070934576
ENSG00000181938,GINS3,-1.4187171681273787,0.30012244443248415,2.2771788581626246e-06,0.0013210752542672365,9.621095227691823
ENSG00000158636,EMSY,0.4761061779694691,0.1008338250167613,2.338916821760364e-06,0.0013210752542672365,369.65218663543925
ENSG00000154309,DISP1,0.9545722624753045,0.2041694457488165,2.9339216519568565e-06,0.0015756986994875188,65.94849357235486
ENSG00000112902,SEMA5A,1.0982781317212595,0.23497580865403964,2.95381968243859e-06,0.0015756986994875188,283.16830159487114
