leiden,Reference,Braak 0,Braak II,Braak III,Braak VI
0,3,11,2040,1666,14910
1,2,8,2794,4480,2044
2,3,5451,12,8,60
3,0,510,1025,3057,3
4,0,0,4056,5,1
5,3923,2,2,11,1
6,0,1,0,8,2647
7,0,1,4,1798,8
8,0,1313,0,1,0
9,0,0,0,191,341
