gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
ZNF22,-0.30640587,0.26653810739976114,0.7885079587547691,1.1110703,ENSG00000165512
LZTS1,0.86653125,0.26657775597581956,0.7885079587547691,1.1109781,ENSG00000061337
SNTG2,0.85312754,0.266595137452766,0.7885079587547691,1.1109377,ENSG00000172554
PRDM16,1.0651706,0.2665967670062057,0.7885079587547691,1.110934,ENSG00000142611
NAP1L5,0.12732069,0.2668010586273961,0.7890480950894044,1.1104596,ENSG00000177432
DKK2,0.82436794,0.26682768966678083,0.7890627658691484,1.1103977,ENSG00000155011
ENSG00000276997,1.3813674,0.2669918641910316,0.7894841447883583,1.1100166,ENSG00000276997
C2orf74-DT,0.11433634,0.26703971619402944,0.789561522213317,1.1099056,ENSG00000212978
TICAM2-AS1,-0.08739307,0.2671381576051415,0.789788453614681,1.1096772,ENSG00000249249
EPCAM,0.13178176,0.2671827635843259,0.7898561977455935,1.1095737,ENSG00000119888
ENSG00000275580,0.28787142,0.26728341783664955,0.7900896095362951,1.1093403,ENSG00000275580
ENSG00000233367,-0.26358926,0.2676715886272658,0.7911085945694807,1.1084405,ENSG00000233367
ZNF132,0.01851356,0.26787317631531204,0.7915758883292601,1.1079737,ENSG00000131849
ENSG00000275632,1.1043224,0.26813866829815636,0.792203006241616,1.1073592,ENSG00000275632
MATCAP1,-0.3843219,0.26815066604218163,0.792203006241616,1.1073314,ENSG00000196123
ARL4C,0.10558365,0.2682166602270015,0.7923336875049148,1.1071787,ENSG00000188042
TIGD4,0.99561566,0.268348136431653,0.792657771051298,1.1068746,ENSG00000169989
PIGQ,-0.35608867,0.26861886575796157,0.7933931002578598,1.1062487,ENSG00000007541
TRIB2,0.7882313,0.26865381223217943,0.7934319580661949,1.106168,ENSG00000071575
B3GALT9,0.5987488,0.26877833441908716,0.7936725814984495,1.1058803,ENSG00000214654
COMMD6,-0.35909003,0.26877888065630506,0.7936725814984495,1.1058791,ENSG00000188243
PROCR,-0.22872455,0.26939661584555563,0.7953676782752268,1.1044532,ENSG00000101000
PHOSPHO2,0.7537237,0.26965055189025533,0.7960528535291047,1.1038677,ENSG00000144362
KDM4D,0.57143384,0.26979127245964807,0.7963892669281895,1.1035434,ENSG00000186280
ENSG00000227782,0.31190163,0.2698082499402984,0.7963892669281895,1.1035043,ENSG00000227782
MIR4453HG,-0.04865762,0.2704215729501621,0.7981349042928835,1.1020923,ENSG00000268471
NHERF2,0.35884005,0.2705066036377237,0.7983211583446909,1.1018966,ENSG00000065054
AXIN2,0.2932372,0.270557082132602,0.7984054197756953,1.1017805,ENSG00000168646
ENSG00000230751,0.1671774,0.27061854292829746,0.7985220733472582,1.1016393,ENSG00000230751
TMEM187,0.07382251,0.2708320837825492,0.7990874187416077,1.1011484,ENSG00000177854
ENSG00000227042,0.90159476,0.27125456467518694,0.8002690981164242,1.100178,ENSG00000227042
ENSG00000287032,1.2818854,0.2719670445758279,0.8022427153409185,1.0985439,ENSG00000287032
DEXI,-0.054335035,0.27196759524794845,0.8022427153409185,1.0985427,ENSG00000182108
FASTKD5,0.0699843,0.2722501906889263,0.8030112550316066,1.0978954,ENSG00000215251
NIF3L1,-0.23212726,0.27247067741227116,0.8035964932719599,1.0973907,ENSG00000196290
KCTD12,1.0954496,0.27256662726397396,0.8038143704491634,1.0971711,ENSG00000178695
COTL1,0.7538593,0.27358434301701184,0.8067503318703786,1.0948454,ENSG00000103187
PPIC-AS1,1.8097312,0.2739616051867284,0.8077973899149044,1.0939848,ENSG00000249996
PJA1,-0.004859816,0.27410607665782494,0.8081579322481556,1.0936556,ENSG00000181191
ENSG00000286084,0.34550732,0.2742162642045476,0.808417343714354,1.0934044,ENSG00000286084
CCNYL1,-0.33866653,0.27492517674779593,0.8103826062978875,1.0917906,ENSG00000163249
CCDC34,0.7453116,0.27492739579253556,0.8103826062978875,1.0917856,ENSG00000109881
ENSG00000271976,0.25258476,0.27508109438583805,0.8107700185184665,1.0914359,ENSG00000271976
TBL2,-0.19197339,0.2755731017407299,0.812088684087363,1.090318,ENSG00000106638
LHX2,0.6770574,0.2756725756389746,0.8123160819103621,1.0900921,ENSG00000106689
ZNF304,0.041105498,0.2757598438594442,0.8124925108823697,1.0898939,ENSG00000131845
ASIP,-0.007019758,0.2757770773919369,0.8124925108823697,1.0898548,ENSG00000101440
ENSG00000269807,1.291518,0.2758037630208372,0.8125053898960132,1.0897943,ENSG00000269807
STIL,0.38172036,0.2759366614361818,0.812831139569149,1.0894927,ENSG00000123473
SULT1A1,0.03319379,0.2759811560173395,0.8128964449849027,1.0893918,ENSG00000196502
ZGLP1,0.42888954,0.2760245429453956,0.8129584775319699,1.0892934,ENSG00000220201
RFK,-0.13891779,0.2762025892899712,0.8134170722441307,1.0888896,ENSG00000135002
PTK7,1.1988156,0.2763495364700884,0.8137840130973603,1.0885564,ENSG00000112655
TMC5,1.124787,0.27673385465790734,0.8148498395442118,1.0876857,ENSG00000103534
ENSG00000285688,0.53933674,0.2767873538682192,0.8149414675385782,1.0875646,ENSG00000285688
ENSG00000263494,0.5309259,0.27706945578098285,0.8156401506910136,1.0869261,ENSG00000263494
CALB2,0.8567722,0.277093437896787,0.8156448068470338,1.0868719,ENSG00000172137
ENSG00000232748,1.0937132,0.27714475322030474,0.815729913043225,1.0867558,ENSG00000232748
APP-DT,1.1863531,0.2772753018065499,0.8159822427366116,1.0864605,ENSG00000273492
EIF1B,-0.32288393,0.27733054651003153,0.8160788637080385,1.0863355,ENSG00000114784
GADD45GIP1,-0.19607715,0.27737017106558626,0.8161295085931416,1.086246,ENSG00000179271
CPA2,1.393855,0.27745333936142746,0.8163082573390673,1.086058,ENSG00000158516
