gene_id,gene_symbol,log2fc,log2fc_se,pval,pval_adj,base_mean
ENSG00000167653,PSCA,2.2999831696851634,0.5099370811204788,6.4727660125733634e-06,0.14007712927810015,18.066833451814794
ENSG00000120868,APAF1,0.5537825474929862,0.1337186706416416,3.451918604771171e-05,0.30614139602519297,209.47065438198842
ENSG00000152207,CYSLTR2,3.189362444721178,0.7951904009527205,6.0509234556113776e-05,0.30614139602519297,6.966243829660985
ENSG00000286536,ENSG00000286536,-0.7699313523789116,0.193239148152252,6.766662644753939e-05,0.30614139602519297,33.92700749494396
ENSG00000205181,LINC00654,1.1186661880152677,0.281509686726929,7.07318044510866e-05,0.30614139602519297,24.119330321713246
ENSG00000182378,PLCXD1,1.8513490271118243,0.48117877199423287,0.00011931541277422491,0.4303508079745002,162.27688193464655
ENSG00000206077,ZDHHC11B,0.6826510371448774,0.18700255155456483,0.00026173999497609173,0.8091878901825145,768.9356088347209
ENSG00000256537,SMIM10L1,-0.5074452711394716,0.14116593820175277,0.00032480028383372056,0.8786253678056933,146.2347146816146
ENSG00000125845,BMP2,1.0987759741392142,0.31746118564944603,0.0005379032885895218,0.9992639771593044,40.230326284300915
ENSG00000236466,RCAN2-DT,0.7271797535919863,0.2107676449554642,0.0005602774802019848,0.9992639771593044,214.94757553046128
ENSG00000110900,TSPAN11,1.9339847433691015,0.5637097639197234,0.0006017675818129091,0.9992639771593044,71.66903457996993
ENSG00000069869,NEDD4,1.4856379153453019,0.4433112336569313,0.0008045344457882135,0.9992639771593044,258.4784118318082
ENSG00000187323,DCC,0.8136282515290364,0.24312535412291505,0.0008182744479554148,0.9992639771593044,1328.9453581997284
ENSG00000167861,HID1,-0.39855582993040656,0.11938221149137666,0.0008423630493808831,0.9992639771593044,730.8951649686228
ENSG00000118257,NRP2,1.043737794304942,0.3138000896706173,0.0008806295937303662,0.9992639771593044,147.1859935544514
ENSG00000155660,PDIA4,0.9657819374779207,0.29272574269539026,0.0009693582873464689,0.9992639771593044,163.207971017914
ENSG00000214402,LCNL1,-0.5526578394272064,0.1676228200462237,0.000977122892812555,0.9992639771593044,227.49839529328636
ENSG00000161281,COX7A1,-1.8954016048055258,0.5780498402069002,0.001041908496379986,0.9992639771593044,23.444178217136407
ENSG00000265995,ENSG00000265995,-1.9591328692716183,0.6029928297371144,0.001158052899714223,0.9992639771593044,17.222656555262752
ENSG00000268673,ENSG00000268673,1.9195328529405327,0.5991986111942946,0.0013576795980694367,0.9992639771593044,6.044540634288543
ENSG00000149257,SERPINH1,1.3582549902073802,0.42637134311045066,0.0014444663062014474,0.9992639771593044,12.601566183417665
ENSG00000255028,ENSG00000255028,-1.0880130679140048,0.34280816396407665,0.0015044444810005054,0.9992639771593044,29.5139576934444
ENSG00000248690,HAS2-AS1,0.9467532373589266,0.29931623840415944,0.001561237058536305,0.9992639771593044,24.976403796252434
ENSG00000226622,ENSG00000226622,0.9944682566825831,0.3159693252455849,0.0016475369092970166,0.9992639771593044,51.50805975845862
ENSG00000261810,ENSG00000261810,-1.9242878760102566,0.6127912799591383,0.0016883187240177193,0.9992639771593044,7.482086739224401
ENSG00000133048,CHI3L1,1.9100591683663226,0.6098525705253706,0.0017361898562662714,0.9992639771593044,15.781145808238787
ENSG00000071794,HLTF,0.26849105777617166,0.08588324256260906,0.001770609897344395,0.9992639771593044,640.5897001681386
ENSG00000205212,CCDC144NL,0.826077004843093,0.26641638597903117,0.0019306447681109449,0.9992639771593044,58.37212214764271
ENSG00000259380,LINC02895,-0.7585078146500938,0.24507641579417314,0.0019682289430596658,0.9992639771593044,275.21628157984804
ENSG00000137831,UACA,0.3982903945705735,0.12888591133569915,0.0019998439085647385,0.9992639771593044,830.6369022550393
ENSG00000180423,HARBI1,-0.43167353493691973,0.13999541782567326,0.002045925829389807,0.9992639771593044,89.89495206712952
ENSG00000236914,LINC01852,-0.9277945935972541,0.30100510060933433,0.002053926424923,0.9992639771593044,23.07161657039842
ENSG00000110881,ASIC1,-0.7988224207485802,0.2597697360668072,0.002104197482820399,0.9992639771593044,183.80340661960244
ENSG00000142188,TMEM50B,0.5682061291048882,0.18508532647210388,0.0021408132148229985,0.9992639771593044,772.3760360649635
ENSG00000111704,NANOG,-1.2625942707895406,0.4114629650755047,0.002151010484904032,0.9992639771593044,13.73907446306748
ENSG00000134545,KLRC1,-2.820226473512548,0.9195033216746428,0.002161325074914278,0.9992639771593044,7.613490401567249
ENSG00000135070,ISCA1,0.36374879821286993,0.11861737854082546,0.0021652824730219672,0.9992639771593044,312.36033838145073
ENSG00000176046,NUPR1,1.4082315798533664,0.46034813674156316,0.0022203427260607043,0.9992639771593044,48.16462472193027
ENSG00000124920,MYRF,-0.3223567462656187,0.10574247332949208,0.0022998100375652974,0.9992639771593044,3409.790630823654
ENSG00000196335,STK31,-0.9472568518178311,0.3112987810049404,0.0023429569844438413,0.9992639771593044,178.79125193586904
ENSG00000118004,COLEC11,-2.0401327098924695,0.6709280186030325,0.002359799479562758,0.9992639771593044,15.80753129575414
ENSG00000161328,LRRC56,-1.1595133716321937,0.3818619155121571,0.002393635961708106,0.9992639771593044,9.94973659880657
ENSG00000118298,CA14,-0.8161756042862776,0.27024498873697067,0.0025266433869683843,0.9992639771593044,112.78146428521492
ENSG00000076706,MCAM,-0.495947610775372,0.16601048352000375,0.002813175696463725,0.9992639771593044,673.1218770946082
ENSG00000286937,ENSG00000286937,1.0806269482526834,0.36267605416371446,0.00288631817558862,0.9992639771593044,11.256341600421175
ENSG00000254659,LINC02715,-1.2886930885215662,0.4333851316929688,0.002943748252968193,0.9992639771593044,19.74619829021236
ENSG00000186193,SAPCD2,-0.9775713027491891,0.32894758882281033,0.0029604523337544374,0.9992639771593044,36.757096685028245
ENSG00000235590,GNAS-AS1,0.6272757569858944,0.2112384274701924,0.0029826989136716203,0.9992639771593044,47.648119399474034
ENSG00000287097,ENSG00000287097,-0.8633459959770509,0.29079907367211816,0.002988925026294954,0.9992639771593044,122.67639193788919
ENSG00000174521,TTC9B,-1.2943118199305836,0.4371105219277971,0.003065791599641881,0.9992639771593044,70.93742740909228
ENSG00000140263,SORD,0.5389768344407542,0.18207365235345435,0.0030742618284614726,0.9992639771593044,145.68012809203947
ENSG00000111266,DUSP16,-0.37817613855721227,0.1279901543540168,0.0031294445913346534,0.9992639771593044,2114.174923466158
ENSG00000072210,ALDH3A2,0.9320490227553273,0.315594308649391,0.0031438221776053103,0.9992639771593044,781.4347960579727
ENSG00000076604,TRAF4,-0.47672282433471463,0.16221924775595956,0.0032953214912286636,0.9992639771593044,207.33574804539936
ENSG00000250220,ANKRD17-DT,-0.41474721249403157,0.14132306639125858,0.0033382151993577823,0.9992639771593044,1286.1580138379459
ENSG00000138646,HERC5,0.6360457152664591,0.21754120669134006,0.0034579329931880174,0.9992639771593044,81.85112931112148
ENSG00000229140,CCDC26,-0.7557945772716964,0.2586021809377926,0.003471055691142876,0.9992639771593044,43.67554295833566
ENSG00000138658,ZGRF1,0.34004204419514306,0.11650699913279941,0.0035156142551496647,0.9992639771593044,382.58549224958705
ENSG00000285533,RELA-DT,-0.4952161248779638,0.17064396492792144,0.0037073764114408355,0.9992639771593044,95.98619536716475
ENSG00000265352,LINC01899,-1.984550813812681,0.6863004562577066,0.0038320665867679383,0.9992639771593044,7.783722108747592
ENSG00000114646,CSPG5,-0.6587198061905238,0.22958198939996266,0.004114935792933198,0.9992639771593044,86.51420387357271
ENSG00000168621,GDNF,0.9294731756794761,0.32434482518155255,0.004160956015565842,0.9992639771593044,47.99914086872681
ENSG00000188761,BCL2L15,-0.727437388057526,0.2544734153271578,0.004255166380390111,0.9992639771593044,25.32285039717843
ENSG00000187775,DNAH17,0.46730034077814536,0.1637823256139744,0.0043284192310421655,0.9992639771593044,459.1751722819488
ENSG00000267199,ENSG00000267199,0.6281604497264539,0.2203900740914043,0.004368884086473712,0.9992639771593044,68.47060954971936
ENSG00000198837,DENND4B,-0.4003650887039754,0.14072214913005024,0.004440094712456961,0.9992639771593044,315.10078461992345
ENSG00000108381,ASPA,-0.3818496803756922,0.1343722603792255,0.00448694770315445,0.9992639771593044,3379.69012717931
ENSG00000185272,RBM11,0.681351894566859,0.2402662251798506,0.004570812301734795,0.9992639771593044,63.16504612639681
ENSG00000256237,ENSG00000256237,-1.7581194408905665,0.6205618984296525,0.0046097677898454745,0.9992639771593044,7.771306562535718
ENSG00000287001,ENSG00000287001,1.0311664679997314,0.36669140413698115,0.004922188194807662,0.9992639771593044,28.295506841193294
ENSG00000074706,IPCEF1,-0.5380727764422757,0.19149042839263963,0.0049553822291188866,0.9992639771593044,191.22021177315472
ENSG00000166130,IKBIP,0.663429600696164,0.2368912698542681,0.005101309825448172,0.9992639771593044,42.385841848051
ENSG00000124762,CDKN1A,1.6847074286327042,0.6019385556195702,0.005129242214148869,0.9992639771593044,22.8047817377363
ENSG00000259287,ENSG00000259287,-0.8644037150826686,0.30905271306735044,0.005158817252312209,0.9992639771593044,40.1670479237602
ENSG00000237943,PRKCQ-AS1,-0.6625675124449582,0.2371841919131236,0.005214546601579657,0.9992639771593044,533.0733218015004
ENSG00000284052,ENSG00000284052,-0.31133311258536805,0.11179235890866505,0.0053540434137895965,0.9992639771593044,727.972972640178
ENSG00000104332,SFRP1,0.7909456168259875,0.28440927410197425,0.005418972662931823,0.9992639771593044,328.4914862095538
ENSG00000203808,BVES-AS1,0.5129467144252412,0.18489849877341605,0.005533645116879313,0.9992639771593044,204.24284051333183
ENSG00000287458,ENSG00000287458,1.2599538481767263,0.4545747773407071,0.005576103586152931,0.9992639771593044,6.52692931645336
ENSG00000103121,CMC2,-0.46874310571282757,0.16921483134753762,0.005603796475551504,0.9992639771593044,803.7584653266297
ENSG00000100439,ABHD4,0.6297641018150059,0.22742992482063093,0.0056220561774322445,0.9992639771593044,45.4551586272579
ENSG00000135018,UBQLN1,0.30492633165799726,0.11016401707079446,0.0056413502070249266,0.9992639771593044,876.970578009824
ENSG00000261402,ENSG00000261402,-1.3408459438464178,0.4845769440917214,0.005656704175906143,0.9992639771593044,10.573789666258204
ENSG00000130254,SAFB2,0.5184611609499371,0.18785829945354193,0.005782749821417018,0.9992639771593044,544.9321167956509
