gene_id,gene_symbol,log2fc,log2fc_se,pval,pval_adj,base_mean
ENSG00000096060,FKBP5,2.857966526258758,0.34668156195495314,1.668538218042052e-16,3.0000317160396095e-12,2378.005398668135
ENSG00000183943,PRKX,3.234456579551827,0.4002725005634614,6.442959218892681e-16,5.7922203377845206e-12,377.36145925734877
ENSG00000101347,SAMHD1,2.538429773166306,0.3352069079608303,3.654751022772537e-14,2.1904141129816735e-10,331.34547173115544
ENSG00000204278,TMEM235,-1.310070028539404,0.18993147606585528,5.289100088278549e-12,2.3774504896812078e-08,1320.9431817688567
ENSG00000148341,SH3GLB2,-0.9564161303810276,0.13987202423099077,8.04217561320753e-12,2.8919663505094275e-08,711.8989525356182
ENSG00000228526,MIR34AHG,2.221523359048343,0.334568012205535,3.137355835844427e-11,9.401609654747133e-08,69.3439710792963
ENSG00000167614,TTYH1,-1.1466593512249292,0.1756800818754255,6.71116284611163e-11,1.7238101139012442e-07,1016.6347515714198
ENSG00000173482,PTPRM,2.9036629767544846,0.4545546010401858,1.6814626129891574e-10,3.779087222693131e-07,1646.7696177206278
ENSG00000106236,NPTX2,2.7154768319404257,0.42710804662339313,2.0463471781209956e-10,4.088146918068389e-07,136.11911291292662
ENSG00000154639,CXADR,-1.0891543374569421,0.17450540052065078,4.337299665338707e-10,7.798464798278995e-07,812.9093927364455
ENSG00000132470,ITGB4,3.5015081396577963,0.5651349489921308,5.796039670149694e-10,9.473890297208317e-07,100.91861335429964
ENSG00000188811,NHLRC3,-0.8738155931466364,0.14579565604064856,2.054646640558599e-09,3.0785455497703004e-06,936.9930284923347
ENSG00000150656,CNDP1,-1.1580084261608548,0.19445238626054787,2.5970843629594176e-09,3.448753124222567e-06,4165.503693373806
ENSG00000105355,PLIN3,1.6355693560954876,0.2748966597561428,2.685347260240041e-09,3.448753124222567e-06,318.97711070564384
ENSG00000248714,ZNF652-AS1,1.824539820652606,0.31473427100225354,6.747941329755511e-09,8.088532340600272e-06,113.1532657602583
ENSG00000198695,MT-ND6,2.6255832035138598,0.45535531683683755,8.11703581925247e-09,9.121519001884964e-06,46.99589886442676
ENSG00000179399,GPC5,1.9107673208756464,0.33514823982238484,1.1892494415098315e-08,1.2366158376127905e-05,535.9278454811642
ENSG00000117691,NENF,-0.8427957494092262,0.1480040466128847,1.2379913835945621e-08,1.2366158376127905e-05,564.2202958060457
ENSG00000145824,CXCL14,-1.7401023553511648,0.30691987822530103,1.4316010624007426e-08,1.3547466895771237e-05,105.286742590612
ENSG00000206077,ZDHHC11B,1.1494102757320561,0.20349436661918616,1.61981823083517e-08,1.4562165895208178e-05,660.5085639810885
ENSG00000196169,KIF19,2.282418296713255,0.40563303399188977,1.8357723215828332e-08,1.571770778193302e-05,380.3994958820957
ENSG00000141314,RHBDL3,2.992169832138698,0.5378765490195074,2.6528164050857473e-08,2.1680744983382606e-05,309.2491721872791
ENSG00000222031,ENSG00000222031,5.098166165626225,0.9204086676588746,3.0416108531547864e-08,2.37774622346622e-05,119.00321751165704
ENSG00000270866,ENSG00000270866,-2.1395660727744916,0.38864407912117704,3.6873492094734885e-08,2.7624391160972216e-05,26.758749991545997
ENSG00000131095,GFAP,3.295380253973741,0.6025646034128285,4.5277484128835754e-08,3.256356658545868e-05,66.56254977517114
ENSG00000131584,ACAP3,-0.8883123727942569,0.16330156087466596,5.3368765435988585e-08,3.690655394381057e-05,629.131640533718
ENSG00000197057,DTHD1,2.1899834439389823,0.4069829960184697,7.406516382425651e-08,4.932191279852342e-05,80.16788937538442
ENSG00000119403,PHF19,1.2495795509534018,0.23285941721834452,8.03948900664151e-08,5.162500440693369e-05,252.08051539170367
ENSG00000161791,FMNL3,1.7147478012351733,0.3234229206383836,1.1461950177176995e-07,7.106409109849737e-05,291.5768566092521
ENSG00000103260,METRN,-1.3227576485328068,0.2526263646975474,1.64072838488184e-07,9.833432120058495e-05,486.8858325961705
ENSG00000175602,CCDC85B,-1.5291437759907043,0.294089531990213,1.9973303445753633e-07,0.00011584515998537107,153.2045053511951
ENSG00000105974,CAV1,3.7818569241311373,0.7289565653295388,2.1251723248101137e-07,0.00011940812000026826,68.07310331695454
ENSG00000254081,LINC01299,-1.4072396677643015,0.27282257941799265,2.4950001649073617e-07,0.0001359397059546496,462.71291337791365
ENSG00000197061,H4C3,1.5241392528942719,0.29627197444663755,2.683882226248047e-07,0.00013911845662821875,160.0838397794808
ENSG00000234690,EPCAM-DT,1.4638543593803128,0.28490708751989596,2.776688412251554e-07,0.00013911845662821875,1399.597431110976
ENSG00000162105,SHANK2,1.1518443965846594,0.22420708740942974,2.7854640926673386e-07,0.00013911845662821875,315.16826925745534
ENSG00000117318,ID3,-1.9766642804333006,0.38707966350307027,3.2799240040301127e-07,0.00015938657727692277,33.673010340541786
ENSG00000204764,RANBP17,-1.1247614201535108,0.2219018663501546,4.004715157247991e-07,0.0001894862592824181,412.10712025116266
ENSG00000249867,LINC02742,3.908030501908504,0.774319524984917,4.486804933700105e-07,0.00020685321207160998,53.543952236874276
ENSG00000105971,CAV2,1.9501579745284243,0.38971379485008123,5.613021661061261e-07,0.0002523053236647037,54.877468470432355
ENSG00000114646,CSPG5,-1.1839410827015846,0.23830370902545456,6.757637519890078e-07,0.0002963471283112771,73.3347393868203
ENSG00000227392,HPN-AS1,1.170247188096583,0.236472454822987,7.46849129600367e-07,0.0003197225559574904,1440.095363980541
ENSG00000188290,HES4,-2.929282104719016,0.5933841934594106,7.950885344819535e-07,0.0003262405703269116,69.1349275930542
